@relation 'C__Users_samir_Desktop_2nd Semester_AI_HW5_Dataset_Training'

@attribute text string
@attribute @@class@@ {one,zero}

@data
'excellently produced by one of sci-fi\'s best producers scot vandiver   \r\n',one
'the casting is also horriblecause all you see is a really really bad actorsperiod  \r\n',zero
'but it is entertainingnonetheless  \r\n',one
'final word this show is a real torture  \r\n',zero
'it\'s a campy sort of film that\'s a joy to watch  \r\n',one
'it is zillion times away from reality  \r\n',zero
'there\'s barely a boring moment in the film and there are plenty of humorous parts  \r\n',one
'watching washing machine twirling around wouldn\'t hurt your eyes as much as this show  \r\n',zero
'the cast is always entertaining as usual  \r\n',one
'rating 0/10 grade z note the show is so bad that even mother of the cast pull her daughter out of the show  \r\n',zero
'overalla delight  \r\n',one
'20th century fox\'s road house 1948 is not only quite a silly noir but is an implausible unmitigated bore of a movie  \r\n',zero
'this movie does an excellent job of revealing the complexity of the task and the incredible challenges facing south africa  \r\n',one
'full of unconvincing cardboard characters it is blandly written by edward chodorovwho also producedand is surprisingly directed by jean negulesco from whom one would expect a great deal more  \r\n',zero
'i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process  \r\n',one
'from here on the widmark character turns unintentionally comical  \r\n',zero
'nothing short of magnificent photography/cinematography in this film  \r\n',one
'his losing his marbles so early in the proceedings is totally implausible and unconvincing  \r\n',zero
'o my gosh the best phone i have ever had\r\n',one
'returned 8 hours later\r\n',zero
'the acting is fantasticthe stories are seamlessly woven togetherand the dogs are splendid a must rentviewor see  \r\n',one
'and if that isn\'t enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors  \r\n',zero
'don\'t be afraid of subtitles its worth a little aversion therapy 10/10  \r\n',one
'whatever prompted such a documentary is beyond me  \r\n',zero
'excellent performance  \r\n',one
'very serious spoilers this movie was a huge disappointment  \r\n',zero
'there still are good actors around  \r\n',one
'there are so many problems i dont know where to start  \r\n',zero
'also great directing and photography  \r\n',one
'but the movie makes a lot of serious mistakes  \r\n',zero
'very true to shakespearand a \'must\' for all shakespear fans  \r\n',one
'first of allthere are enough racial stereotypes and racial jokes to offend everyone  \r\n',zero
'macbeth jason connery moved me to tears with his final monolog out brief candleouthe gave the sphere of moral decay and dark forces a human facewhich makes it the more interesting  \r\n',one
'the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs  \r\n',zero
'helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girlbut deadly in her taste for blood and evil  \r\n',one
'putting the race card asidelets look at the major flaw in the film they destroy latifa\'s character  \r\n',zero
'if you love death and decayand shakespears lyrics this is the one  \r\n',one
'there is no real plot  \r\n',zero
'this is a witty and delightful adaptation of the dr seuss bookbrilliantly animated by upa\'s finest and thoroughly deserving of its academy award  \r\n',one
'i wouldnt see this movie again for free  \r\n',zero
'great pocket pc / phone combination\r\n',one
'i bought it for my mother and she had a problem with the battery\r\n',zero
'it\'s very attractive and appears to be of good quality\r\n',one
'don\'t waste your money\r\n',zero
'special mention should be made of the superb music score and sound effectswhich are an integral element in helping to make this such a memorable and enjoyable cartoon  \r\n',one
'the bipolarity of the ruthless thug one minute a ruthless killerthe next minute a luv\'s diaper commercial is completely unconvincing  \r\n',zero
'however paul schrader has indeed made a film \"about\" mishima that is both superb & complex  \r\n',one
'i\'m terribly disappointed that this film would receive so many awards and accoladesespecially when there are far more deserving works of film out there  \r\n',zero
'also notable is john bailey\'s fine crisp beautifully colored cinematography and the great production design & costumes by eiko ishioka who went on to do the memorable costumes for coppola\'s dracula for which she received a well deserved oscar  \r\n',one
'i don\'t think there are any redeeming qualities in this remake  \r\n',zero
'if you do watch ithoweverthere are small consolations the actresses playing anne\'s sisters each do a wonderful job with their roles  \r\n',one
'this may be the only bad film he ever made  \r\n',zero
'this is a stunning movie  \r\n',one
'so badwellit\'s just bad  \r\n',zero
'raw and sublimely moving  \r\n',one
'this movie is a solid example of a bad plot and a veryvery bad idea all the way  \r\n',zero
'it felt like a very grippingintelligent stage play but without the overly theatrical feeling one actually gets from watching people on a stage which plays on everyone\'s terror of a white lie escalating to monstrous consequences  \r\n',one
'it\'s a shame to see good actors like thomerson and james make a living in a mess like this  \r\n',zero
'all of the main players are mesmerising  \r\n',one
'i thought it was bad  \r\n',zero
'tom wilkinson broke my heart at the end and everyone else\'s judging by the amount of fumbling for hankies and hands going up to faces among males and females alike  \r\n',one
'both films are terriblebut to the credit of the 1986 versionit was watchable  \r\n',zero
'julian fellowes has triumphed again  \r\n',one
'let\'s start with all the problems the actingespecially from the lead professorwas veryvery bad  \r\n',zero
'i love all the features and form factor\r\n',one
'not only will it drain your playerbut may also potentially fry it\r\n',zero
'he\'s a national treasure  \r\n',one
'the script is a big flawed mess  \r\n',zero
'go and see it  \r\n',one
'the best example of how dumb the writing is when it\'s established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite  \r\n',zero
'this is an excellent film  \r\n',one
'director paul matthewswho also wrote/directed the weak 1995 monster movie \"grim\"clearly doesn\'t know how to pace his films  \r\n',zero
'the aerial scenes were well-done  \r\n',one
'the movie is terribly boring in places  \r\n',zero
'it was also the right balance of war and love  \r\n',one
'the lighting is awful  \r\n',zero
'the film gives meaning to the phrase\"never in the history of human conflict has so much been owed by so many to so few  \r\n',one
'the film looks cheap and bland  \r\n',zero
'kris kristoffersen is good in this movie and really makes a difference  \r\n',one
'one of the most disappointing aspects is the lack of notable gore  \r\n',zero
'a good film by a great director  \r\n',one
'this convention never worked well in the pastand certainly doesn\'t work here  \r\n',zero
'this is definitely one of the better documentaries i have seen looking at family relationships and marriage  \r\n',one
'the visual effects were awful  \r\n',zero
'this is just a great movie  \r\n',one
'the cg opening sequence in space looked like it could have been created on microsoft slideshow for god\'s sake  \r\n',zero
'great earpiece\r\n',one
'unreliable - i\'m giving up\r\n',zero
'10 out of 10 stars  \r\n',one
'the \"explosion\" of the gas tanks at the end was just as awful  \r\n',zero
'punishment park is a brilliant piece of cinema  \r\n',one
'to sum the film up\"breeders\" is a terriblecheaply made horror movie that should be avoided like the ebola virus  \r\n',zero
'shot in the southern california desert using his patent faux documentary stylewatkins creates a film like no other  \r\n',one
'not recommended  \r\n',zero
'this is one of peter watkins most accessible films  \r\n',one
'he is almost unbearable to watch on screenhe has little to no charismaand terrible comedic timing  \r\n',zero
'i advise you to look out for it  \r\n',one
'aside from it\'s terrible leadthis film has loads of other debits  \r\n',zero
'you wont regret it  \r\n',one
'i understand that it\'s supposed to be a cheap popcorn comedybut that doesn\'t mean that it has to completely insult our intelligenceand have writing so incredibly hackneyed that it borders on offensive  \r\n',zero
'highly recommended a+  \r\n',one
'lewis black\'s considerable talent is wasted here tooas he is at his most incendiary when he is unrestrainedwhich the pg-13 rating certainly won\'t allow  \r\n',zero
'stanwyck and morgan are perfectly cast in what isin many waysa modern equivalent of dickens\' christmas carol in its sensibility  \r\n',one
'with the originality and freshness of the first movie now spentthis remake had little else to offer  \r\n',zero
'the success of the film depends on the casting of sydney greenstreet as the alexander yardley character  \r\n',one
'the budget was evidently very limited  \r\n',zero
'the attractive set used throughout most of the film is an eye-pleasing gem  \r\n',one
'this was reflected not only in the castbut also in the below-par scriptwhich borrowed much from the earlier classic  \r\n',zero
'excellent hands free tool\r\n',one
'avoid this one if you can\r\n',zero
'the transfers are very good  \r\n',one
'howeverhere there was no decent actingaction or location work to balance things up  \r\n',zero
'very nice and relaxing late night viewing  \r\n',one
'filmiing was less expansive  \r\n',zero
'the movie is full of wonderful dancing hence the title  \r\n',one
'it failed to convey the broad sweep of landscapes that were a great part of the original  \r\n',zero
' some great musicand terrific scenery  \r\n',one
'generally; it just lacked imagination  \r\n',zero
'it handles some tough issues with dignity and graceandof coursehas shocking spoiler here  \r\n',one
'not recommended  \r\n',zero
' a happywonderfulfeel good ending  \r\n',one
'is it possible for a movie to get any worse than this?  \r\n',zero
'the point is the journeya journey that touches every member of the family  \r\n',one
'there is no plot here to keep you going in the first place  \r\n',zero
'it\'s one of the movies i need to see whenever it comes on tvnever mind the fact that i already have it memorized  \r\n',one
'even when the women finally show upthere is no sign of improvement; the most expected things happen and by the time the film is overyou might be far asleep  \r\n',zero
'i just saw this film and i recommend it  \r\n',one
'beware this is not a trashy cult moviethis is trash -period  \r\n',zero
'it has a very good plotit holds your complete attentionthe acting is superbtom wilkinson was fantastic and emily watson was also very good  \r\n',one
'i can\'t believe there\'s even a sequel to this  \r\n',zero
'great for using with your home stereo\r\n',one
'i wasted my little money with this earpiece\r\n',zero
'a very good film indeedabout great and unconditional love  \r\n',one
'which is precisely why i am giving it such a bad review  \r\n',zero
'tom wilkinson\'s character is a man who is not prepared for the ordeal that is about to beginbut he takes the matter in hand as the story progressesand this great actor gives a performance that makes you feel the character\'s anguish and suffering  \r\n',one
'every element of this story was so over the topexcessively phony and contrived that it was painful to sit through  \r\n',zero
'emily watson\'s character is very strongand she has only to give a quick glance and you understand everything  \r\n',one
'her lines seem to have been written by a fifteen year oldthough they are trying oh soso hard to sound like how a fifteen year old would reallyumyou knowwell talk  \r\n',zero
'despite the pans of reviewersi liked this movie  \r\n',one
'there is simply no excuse for something this poorly done  \r\n',zero
'in facti liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruise\'s attempt  \r\n',one
'i saw this movie and i thought this is a stupid movie  \r\n',zero
'aailiyah was pretty good as akashain places compelling her first entrance and mini dance scene  \r\n',one
'what is even more stupid is that who had thought an idea that there should be a volcano in los angeles?  \r\n',zero
'i\'m a big fan of this series mostly due to anne rice\'s stylesensitivities and treatments  \r\n',one
'to be honest with youthis is unbelievable nonsense and very foolish  \r\n',zero
'i guess i liked the details of his dysfunction--he was believable  \r\n',one
'in conclusioni will not bother with this movie because a volcano in los angeles is nothing but nonsense  \r\n',zero
'but i thought his acting was skilled  \r\n',one
'the story line is just awful  \r\n',zero
'meredith m was better than all right  \r\n',one
'it\'s just painful  \r\n',zero
'good product - incredible value\r\n',one
'first of allit doesn\'t wear well\r\n',zero
'a very charming film with wonderful sentiment and heart  \r\n',one
'and the accents are absolutely abysmal  \r\n',zero
'it is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn\'t fall into the trap of being overly syrupy or over indulgent  \r\n',one
'there\'s also enough hypocrisy in this film to make me vomit  \r\n',zero
'nine out of ten for a truly lovely film  \r\n',one
'don\'t waste your time watching this rubbish non-researched film  \r\n',zero
'this early film from future goremeister lucio fulci is a very good addition to the giallo sub-genre  \r\n',one
'omit watching this  \r\n',zero
'this is one of the best italian thrillers of the early 70\'s  \r\n',one
'my rating just 3 out of 10  \r\n',zero
'a standout scene  \r\n',one
'the basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew  \r\n',zero
'technicallythe film is well made with impressive camera-worksolid acting and effective music from riz ortolani particularly good is a recurring unaccompanied female vocal that sounds like it\'s coming from a distant hill  \r\n',one
'regardlessthe film fails on most levels  \r\n',zero
'it\'s still wild stuff though and is highly recommended to fans of giallo cinema  \r\n',one
'avoid at all costs  \r\n',zero
'the movie was very interesting from beginning to the end  \r\n',one
'i know that jim o\'connor was very energetic and that nobody could be as much as himbut george was well dull  \r\n',zero
'i liked the way dustin hoffman\'s character was ready to do just about everything to stay with his son  \r\n',one
'he really didn\'t seem to want to be hosting; his voice-overs were monotonousdidn\'t get involved with the guests  \r\n',zero
'only had this a month but it\'s worked flawlessly so far\r\n',one
'i wouldn\'t recommend buying this product\r\n',zero
'this movie is also revealing  \r\n',one
'this movie is so mind-bendingly awfulit couldn\'t have even been created  \r\n',zero
'personallyi think it shows that people should learn to find a compromise them self without involving other people into issue  \r\n',one
'the film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & i say that as an insulin dependant diabetic myself  \r\n',zero
'ps the only scene in the movie that was cool is when the central character finds her room blown up  \r\n',one
'the least said about the acting the better  \r\n',zero
'it\'s a freshsubtleand rather sublime effect  \r\n',one
'even allowing for poor production values for the time 1971 and the format some kind of mini-seriesthis is baaaaaad  \r\n',zero
'an italian reviewer called this \"a smallgreat film,\" and that\'s right  \r\n',one
'unless you\'re just out to visually \"collect\" all extant films of austen\'s workyou can skip this one  \r\n',zero
'all the actors give a wonderful performanceespecially jennifer rubin as jamie harriswho changes from the nervous starlet in the beginning through the strange events she is part of to the cool star  \r\n',one
'it is not good  \r\n',zero
'you learn a lot about the real inside emotions of people in this movieand a lot about the movie business itself  \r\n',one
'speaking of the musicit is unbearably predictably and kitchy  \r\n',zero
'the movie in movie situations in the beginning and through the game that is played with her by the \"acting coach\" are fascinating  \r\n',one
'then the film just dropped the ball  \r\n',zero
'also the music by mark snow is possibly the best score i\'ve ever heard  \r\n',one
'there are many continuity errors one other user commented on different cars in the garagejoe\'s glassesthe one that got to me the most was the fact joe\'s facial hair configuration seemed to change from scene to scene  \r\n',zero
'you won\'t forget this movie  \r\n',one
'i can\'t see how this movie can be an inspiration to anyone to come out or overcome fear and rejection  \r\n',zero
'works great\r\n',one
'piece of junk\r\n',zero
'i saw it as a child on tv back in 1973when it was \"the stranger\" and i loved it  \r\n',one
'it\'s so bad it\'s actually worth seeing just for that reason  \r\n',zero
'but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronaut\'s biggest fear is that he has crashed in the ussr  \r\n',one
'well just if you keep thinking how bad it is  \r\n',zero
'this movie is so awesome  \r\n',one
'it\'s a mediocremiserablehollowlaughable and predictable piece of garbage  \r\n',zero
'i loved itit was really scary  \r\n',one
'it\'s a case of \'so bad it is laughable\'  \r\n',zero
'i love the scream movies and all horror movies and this one ranks way up there  \r\n',one
' very bad performance plays angela bennetta computer expert who is at home all the time  \r\n',zero
'if you want a real scare rent this one  \r\n',one
'it is a film about nothingjust a pretext to show ridiculous action scenes  \r\n',zero
'10/10  \r\n',one
'how awful she is  \r\n',zero
'this is an extraordinary film  \r\n',one
'but she is still a bad actressrepeating her robotic face moves in each of her pictures  \r\n',zero
'as a courtroom dramait\'s compellingas an indictment on the american justice systemit\'s frightening  \r\n',one
'the resultswellare a shame  \r\n',zero
'this film highlights the fundamental flaws of the legal processthat it\'s not about discovering guilt or innocencebut ratheris about who presents better in court  \r\n',one
'delete this film from your mind  \r\n',zero
'battery life is real good\r\n',one
'poorly contstruct hinge\r\n',zero
'the film is well pacedunderstated and one of the best courtroom documentaries i\'ve seen  \r\n',one
'one of the worst shows of all time  \r\n',zero
'this mostly routine fact-based tv drama gets a boost from the fine performance by cole  \r\n',one
'the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for  \r\n',zero
'predictablebut not a bad watch  \r\n',one
'the fat computer geek was unbelievablethe bible thumperthe bad-ass girlwho are these actors???  \r\n',zero
'it was clear that she had the range and ability to pull off this part  \r\n',one
'never heard of any of them except cole who was totally unbelievable in the part  \r\n',zero
'she carries the movie well  \r\n',one
'every time he opened his mouth you expect to hear\"you see kids\" pulling the plug was a mercy killing for this horrible show  \r\n',zero
'constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations  \r\n',one
'the stories were as unbelievable as the actors  \r\n',zero
'it is wonderful and inspiring to watchand i hope that it gets released again on to video or dvd  \r\n',one
'lame would be the best way to describe it  \r\n',zero
'editing the editing of this film was phenomenal in my opinion  \r\n',one
'im big fan of rpg games toobut this movieits a disgrace to any self-respecting rpger there is  \r\n',zero
'when a song could explain the emotions of the subjects bettersuch as when jay adams\' unfortunate life was a subject of talkthe song old man by neil young was playedwhich evokes many emotions  \r\n',one
'the linesthe cutsthe audioeverything is wrong  \r\n',zero
'cinematography the film was shot in an interesting way  \r\n',one
'you can find better movies at youtube  \r\n',zero
'it\'s a great item\r\n',one
'don\'t buy it\r\n',zero
'of course the footage from the 70s was grainybut that only enhanced the film  \r\n',one
'top line don\'t waste your time and money on this oneits as bad as it comes  \r\n',zero
'this film offers many delights and surprises  \r\n',one
'a lassie movie which should have been \"put to sleep\" forever  \r\n',zero
'when achille and philippa beautifully sing a duet from \"don giovanni\" that perfectly describes their situation in the movieyou appreciate the subtle layers of this excellent film  \r\n',one
'that\'s how i\'d describe this painfully dreary time-waster of a film  \r\n',zero
'the story unfolds in 18th century jutland and the use of period music played on period instruments is just one more fine touch  \r\n',one
'so mediocre in every aspect that it just becomes a dulluninteresting messthis is one of the most forgettable movies i\'ve seen  \r\n',zero
'you share general loewenhielm\'s exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor  \r\n',one
'it isn\'t even an achievement as a \"so-bad-it\'s-good\" or \"so-bad-it\'s-memorable\" movie  \r\n',zero
'but this understated film leaves a lasting impression  \r\n',one
'it\'s an emptyhollow shell of a movie  \r\n',zero
'the warmth it generates is in contrast to its austere backdrop  \r\n',one
'seriouslyit\'s not worth wasting youror your kid\'s time on  \r\n',zero
'you will leave the theater wanting to go out and dance under the stars  \r\n',one
'avoidavoidavoid  \r\n',zero
'the actingas you\'d expect from this castis top notch  \r\n',one
'it will drive you barking mad  \r\n',zero
'the characters are fleshed out surprisingly wellparticularly grimes and blakeand all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic  \r\n',one
'nothing new there  \r\n',zero
'i\'ve owned this phone for 7 months now and can say that it\'s the best mobile phone i\'ve had\r\n',one
'i didn\'t think that the instructions provided were helpful to me\r\n',zero
'love this headset\r\n',one
'do not purchase this phone\r\n',zero
'angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacingviolin-playing anatomist doctor quinn  \r\n',one
'that was done in the second movie  \r\n',zero
'conclusion - i loved it  \r\n',one
'the movie has almost no action scenes in it and very little comedy  \r\n',zero
'it\'s a long time since i was so entertained by a movie  \r\n',one
'the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted  \r\n',zero
'i struggle to find anything bad to say about it  \r\n',one
'what on earth is irons doing in this film?  \r\n',zero
'mark my wordsthis is one of those cult films like evil dead 2 or phantasm that people will still be discovering and falling in love with 203040 years down the line  \r\n',one
'the football scenes at the end were perplexing  \r\n',zero
'it\'s pretty surprising that this wonderful film was made in 1949as hollywood generally had its collective heads in the sand concerning black and white issues at that time  \r\n',one
'this scene is very strong and unpleasant  \r\n',zero
'the film deserves strong kudos for taking this standfor having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn\'t insult the audience or take the easy way out when it comes to white racism  \r\n',one
'and it was boring  \r\n',zero
'pluswith the movie\'s rather modest budget and fast running timeit does an amazing job  \r\n',one
'i am so tired of clichés that is just lazy writingand here they come in thick and fast  \r\n',zero
'juano hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the south  \r\n',one
'why was this film made?  \r\n',zero
'trumbull on i love lucy  \r\n',one
'the film has an ultra-cheap look to it  \r\n',zero
'worked perfectly\r\n',one
'customer service was terrible\r\n',zero
'see it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years  \r\n',one
'the result is a film that just don\'t look right  \r\n',zero
'see both films if you can  \r\n',one
'none of them are engaging or exciting  \r\n',zero
'it was that yearhoweverthat reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyce\'s acclaimed novella \"the dead  \r\n',one
'the plot is nonsense that doesn\'t interest in the slightest way or have any uniqueness to it  \r\n',zero
'feelingsthoughtsgabriel\'s discomfort during the danceall these intangibles leap to life and come within the viewer\'s grasp in huston\'s portrayal  \r\n',one
'the foreigner is not worth one second of your time  \r\n',zero
'this movie is possibly one of the most creative works of horror ever  \r\n',one
'how this piece of trash was ever released is beyond me the actingthe storythe charactersthe supposedly special effectsetcit\'s all wrong  \r\n',zero
'it has everything you could want suspensedramacomedyconfusing subplotsnative americansbrain eating if you\'re looking for the be-allend-all of brainsucking movieslook no further  \r\n',one
'in factthis stinker smells like a direct-to-video release  \r\n',zero
'\" with great sound effectsand impressive special effectsi can\'t recommend this movie enough  \r\n',one
'avoid at all costs  \r\n',zero
'call me a nutbut i think this is one of the best movies ever  \r\n',one
'star trek v the final frontier is the worst in the series  \r\n',zero
'great character actors telly savalas and peter boyle  \r\n',one
'the acting from all involved and that includes those like shatner and nimoy is bad and washed out and making them seem as old as they look in real lifethe special effects are tacky like when spock has to rescue kirk on a jet pack when he falls down from a mountain  \r\n',zero
'i won\'t spoil itbut the ending in pretty amazing  \r\n',one
'the attempts at humor were pitiful and story is so awful it dosen\'t bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just didn\'t care about any of this film and oh not to mention uhura does a belly dance to distract male guards  \r\n',zero
'i gave it 5 stars because of the sound quality\r\n',one
'battery life still not long enough in motorola razor v3i\r\n',zero
'the best scene in the movie is at the endbut i won\'t spoil it  \r\n',one
'the only place good for this film is in the garbage  \r\n',zero
'if there was ever an indication of a writer and a director\'s ability to meld two highly volatile temperaments into a seamless union of creativitythen this is it  \r\n',one
'the worst one of the series  \r\n',zero
'the result is a powerhouse achievementmade more timely now perhaps because of our culture\'s disturbing fascination with celebrityand it\'s distorted interpretations of fame  \r\n',one
'very disappointed and wondered how it could be in the oscar shortlist  \r\n',zero
'a film not easily forgotten  \r\n',one
'it\'s very slow  \r\n',zero
'butkevin spacey is an excellentverbal tsunami as buddy ackerman and totally believable because he is a great actor  \r\n',one
'lot of holes in the plot there\'s nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age  \r\n',zero
'the scripting of the subtle comedy is unmatched by any movie in recent years  \r\n',one
' don\'t waste your time  \r\n',zero
'the characters are interestingeven if a bit predictable  \r\n',one
'end of days is one of the worst big-budget action movies i\'ve ever seen  \r\n',zero
'highly recommended for all agesalthough the younger set will probably not appreciate some of the more subtle referencesthey will certainly appreciate one galley scene in particular  \r\n',one
'he surely doesn\'t know how to make a coherent action movie from the screenwriter of air force one who was only obliged to write the script just for a big sum of money  \r\n',zero
'great movie  \r\n',one
'this was one of the worst films i have ever seen  \r\n',zero
'linda cardellini is the only thing good in this film  \r\n',one
'i\'m still trying to get over how bad it was  \r\n',zero
'reversible plug works great\r\n',one
'sending it back\r\n',zero
'she\'s poised and amazing  \r\n',one
'1 hour 54 minutes of sheer tediummelodrama and horrible actinga mess of a scriptand a sinking feeling of good lordwhat were they thinking?  \r\n',zero
'the fact isthis film is a wonderfulheartwarming tale about two people chasing their dreams  \r\n',one
'lots of holes in the script  \r\n',zero
'the best part about \"nurse betty\" is it\'s unpredictability  \r\n',one
'it\'s like a bad two hour tv movie  \r\n',zero
'director neil labute uses brutal violence to seperate dreams from realityand along with the touching dramaand hilarious comedyyou can never tell what is going to happen next  \r\n',one
'now imagine that every single one of those decisions was made wrong  \r\n',zero
'there ishoweversome pretty good acting at leastfor this type of film  \r\n',one
'the dialogue is atrocious  \r\n',zero
'i saw this short film on hbo the other day and absolutely loved it  \r\n',one
'the acting is beyond abysmal  \r\n',zero
'i didn\'t realize how wonderful the short really is until the last two scenes  \r\n',one
'everything stinks  \r\n',zero
'excellent short film  \r\n',one
'trouble isthe writing and directing make it impossible to establish those things that make a movie watchablelike characterstorytheme and so on  \r\n',zero
'hopefullythe director james cox can turn the short into a feature length film with the same castor win us over with a whole new film  \r\n',one
'worsethere\'s an incredibly weak sub-plot thrown in that follows a little band of latter-day mansonites as they go after a reporter who\'s working on a story on the anniversary of the killings  \r\n',zero
'not much dialoguenot much musicthe whole film was shot as elaborately and aesthetically like a sculpture  \r\n',one
'it\'s dumb and pointlessand a complete waste of time  \r\n',zero
'very good phone\r\n',one
'as many people complainedi found this headset\'s microphone was very weak\r\n',zero
'funnycleverhip - just like pray\'s previous filmhype  \r\n',one
'in shortdon\'t bother with this movie  \r\n',zero
'it was a long time that i didn\'t see a so charismatic actor on screen  \r\n',one
'also the story and acting were weak  \r\n',zero
'paolo sorrentino has written a wonderful story about loneliness and tony has built one of the most unforgettable characters seen in movies in recent years  \r\n',one
'at around 4 pm i bought itat around 8pm i started to watchat around 815pm i fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasn\'t  \r\n',zero
'the movie is not completely perfect but \'titta di girolamo\' will stay with you for a long time after the vision of the movie  \r\n',one
'either wayit sucks  \r\n',zero
'i rate this movie 9/10  \r\n',one
'the script is horrendously stupid  \r\n',zero
'i do not know if this was emilio estevez\'s directorial debutbut the pacingthe interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye  \r\n',one
'the story starts too fast with absolutely no suspense or build-up in the slightest  \r\n',zero
'the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie  \r\n',one
'everything captain howdy says is either laughable or just plain stupid  \r\n',zero
'kathy bates is wonderful in her characters subtle desperation and escapism; a variation on her character in \"at play in the fields of the lord\"  \r\n',one
'what the hell kind of crap is that?  \r\n',zero
'for readers who have already seen one of miyazaki\'s films he is still in top form and made another worthwhile experience  \r\n',one
'thenthere\'s the plot holes  \r\n',zero
'it never condescendsall the characters have good genuine hearts and believable problems  \r\n',one
'you could drive a semi truck into these holes  \r\n',zero
'best of all is the rotating featurevery helpful\r\n',one
'my 5-year old nokia 2160 from tracfone holds the charge a lot better than this\r\n',zero
'the two main characters may be two of the most believable children i ever saw put on screen  \r\n',one
'dee snider just plain sucks  \r\n',zero
'they are so easy to lovebut even more easy to identify with  \r\n',one
'he can\'t act one of the least scary villains i have ever seenhe can\'t write did he write this damn movie in his sleep?  \r\n',zero
'this movie is great--especially if you enjoy visual arts  \r\n',one
'i was bored throughout the whole damn thing  \r\n',zero
'the scenery that the two daughters paint and photograph are beautiful  \r\n',one
'the acting sucksthe music sucksthe script sucksthe pacing sucksthe special fx suckthe directing sucks basicallythis movie sucks  \r\n',zero
'the story is also both funny and poignant at times  \r\n',one
'this film tries to be a serious and sophisticated thriller/horror flick and it fails miserably  \r\n',zero
'people who like european films and \"art movies\" will like this movie  \r\n',one
'this is probably one of the least effective and utterly unoriginal films i have ever seen in my entire life  \r\n',zero
'this is truly an art movie--it actually has a lot of art in it  \r\n',one
'a piece of cinematic garbage captured on celluloid  \r\n',zero
'go rent it  \r\n',one
'avoid at any and all costs  \r\n',zero
'howeverafter finally watching this filmi realized that not only had i had a closed mind to the brilliance it depictsi also found myself watching it over and over again  \r\n',one
'at any rate this film stinksits not funnyand fulci should have stayed with giallo and supernatural zombie movies  \r\n',zero
'it\'s the one movie that never ceases to interest mesimply because it keeps me alertas i try to attempt to decipher it\'s meanings  \r\n',one
'avoid this film at all costs  \r\n',zero
'comfort for our whole family\r\n',one
'they do not care about the consumer one bit\r\n',zero
'brilliance indeed  \r\n',one
'i don\'t know what happened in season fivewhat a mess  \r\n',zero
'but if you liked movies like the matrix and better yettheir sequels i think you\'ll appreciate the thought provokingmindblowing experience this film will give you  \r\n',one
'the only consistent thread holding the series together were the amazing performances of leni parker and anita laselva as the two taelons in quiet idealogical conflict  \r\n',zero
'think of the film being like a dream  \r\n',one
'now this is a movie i really dislike  \r\n',zero
'simply beautiful  \r\n',one
'it\'s one of the most boring horror movies from the 90\'s mainly because it starts slow and centers in a boring atmosphere  \r\n',zero
'both rickman and stowe play their roles to the hilt in this tale of a childrens\' book writer who-- maybe?-- has written a subversive tract  \r\n',one
'the puppets look really cheesy not in a good way like in the puppet master 80\'s flicks  \r\n',zero
'it\'s a gloriously funfast paced and fairly accurate portrayal of the night of a raver  \r\n',one
'the story is lamenot interesting and never really explains the sinister origins of the puppets  \r\n',zero
'it presents a idyllic yet serious portrayal of the ups and downs of the characters lives  \r\n',one
'there aren\'t death scenes like in previous movies and the f/x are terrible  \r\n',zero
'but it picked up speed and got right to the point  \r\n',one
'i felt asleep the first time i watched itso i can recommend it for insomniacs  \r\n',zero
'it showed exactly how the government and the scientist argued for humanity and the reasons of the \"gadget\"  \r\n',one
'otherwisedon\'t even waste your time on this  \r\n',zero
'i enjoyed it  \r\n',one
